Laptops_Name,Discounted_Price,Actual_Prices,Discount_offered,Processor,RAM,Operating System
DELL,"₹77,990","₹1,01,278",22% off,Intel Core i5 Processor (13th Gen),1 TB SSD,64 bit Windows 11 Operating System
Acer,"₹47,990","₹48,999",23% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
MSI,"₹1,12,990","₹59,990",21% off,Intel Core i7 Processor (12th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹65,990","₹34,990",29% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹39,999","₹34,990",62% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
Infinix,"₹79,990","₹59,990",45% off,Intel Core i7 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹36,500","₹99,990",25% off,Intel Core i9 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹39,890","₹51,999",17% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹12,990","₹1,29,999",28% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Lenovo,"₹18,990","₹75,059",35% off,Intel Core i5 Processor (11th Gen),512 GB SSD,64 bit Windows 10 Operating System
HP,"₹42,499","₹98,990",19% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
DELL,"₹85,190","₹50,990",23% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
WINGS,"₹41,990","₹27,990",52% off,Intel Core i3 Processor (11th Gen),256 GB SSD,Windows 11 Operating System
CHUWI,"₹99,990","₹51,999",20% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹61,990","₹34,990",13% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
HP,"₹69,000","₹49,999",13% off,Intel Core i7 Processor (12th Gen),1 TB SSD,64 bit Windows 11 Operating System
ZEBRONICS,"₹36,990","₹6,29,890",54% off,Intel Core i7 Processor (12th Gen),1 TB SSD,Windows 11 Operating System
CHUWI,"₹21,990","₹1,44,999",28% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹43,990","₹85,999",17% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
MSI,"₹16,990","₹1,34,900",47% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
MSI,"₹22,990","₹1,03,290",54% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
Infinix,"₹4,49,990","₹64,235",29% off,Intel Core i3 Processor (11th Gen),512 GB SSD,64 bit Windows 11 Operating System
Apple,"₹1,12,990","₹34,990",20% off,Apple M1 Processor,256 GB SSD,Mac OS Operating System
Acer,"₹65,990","₹34,990",19% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹1,22,990","₹84,900",30% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
ASUS,"₹1,14,900","₹1,10,389",15% off,AMD Ryzen 7 Octa Core Processor (6th Gen),1 TB SSD,Windows 11 Home Operating System
Infinix,"₹79,990","₹51,999",51% off,Intel Core i3 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹56,290","₹1,29,999",33% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹12,990","₹81,418",9% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Infinix,"₹18,990","₹85,999",22% off,Intel Core i3 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
SAMSUNG,"₹69,999","₹71,999",23% off,Intel Core 5 Processor,512 GB SSD,64 bit Windows 11 Operating System
SAMSUNG,"₹96,999","₹43,763",26% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹41,990","₹61,023",19% off,Intel Core i3 Processor (10th Gen),512 GB SSD,64 bit Windows 10 Operating System
CHUWI,"₹99,990","₹92,999",16% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹56,700","₹49,500",37% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹46,990","₹76,090",62% off,AMD Ryzen 9 Octa Core Processor,1 TB SSD,64 bit Windows 10 Operating System
DELL,"₹62,990","₹51,999",45% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
CHUWI,"₹33,990","₹34,990",31% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹52,990","₹65,622",29% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹79,990","₹1,98,999",19% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹35,190","₹1,79,990",23% off,AMD Ryzen 5 Hexa Core Processor (5th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹35,097","₹72,300",38% off,Intel Core i7 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹43,990","₹1,44,999",30% off,Intel Core i9 Processor (14th Gen),2 TB SSD,Windows 11 Operating System
HP,"₹16,990","₹85,999",16% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹54,990","₹54,990",13% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
MSI,"₹1,92,990","₹1,64,990",13% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
HP,"₹1,59,990","₹34,990",9% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
Acer,"₹52,850","₹34,990",29% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹1,12,990","₹59,990",19% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
HP,"₹65,990","₹46,226",37% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
MICROSOFT,"₹32,990","₹70,990",20% off,Intel Core i7 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
MSI,"₹1,29,990","₹97,000",35% off,Intel Core Ultra 7 Processor,1 TB SSD,Windows 11 Operating System
HP,"₹12,990","₹51,999",15% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Home Operating System
Acer,"₹18,990","₹1,29,999",51% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹36,990","₹75,980",36% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Infinix,"₹33,990","₹61,023",13% off,Intel Core i5 Processor (11th Gen),512 GB SSD,64 bit Windows 11 Operating System
MSI,"₹44,795","₹92,999",8% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
CHUWI,"₹43,999","₹1,16,990",50% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹41,990","₹80,990",22% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
Infinix,"₹99,990","₹78,990",23% off,Intel Core i3 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
DELL,"₹1,05,000","₹39,999",29% off,Intel Core i3 Processor (11th Gen),256 GB SSD,64 bit Windows 10 Operating System
ASUS,"₹59,990","₹51,999",62% off,Intel Core i5 Processor (10th Gen),1 TB HDD,64 bit Windows 10 Operating System
DELL,"₹52,990","₹34,990",45% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 10 Operating System
Acer,"₹79,990","₹48,500",33% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹77,990","₹50,124",19% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹64,999","₹1,44,999",30% off,Intel Core i5 Processor (10th Gen),34.29 cm (13.5 Inch) Touchscreen Display,Chrome Operating System
HP,"₹54,990","₹85,999",21% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
Acer,"₹24,990","₹61,887",19% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
CHUWI,"₹43,990","₹54,990",23% off,Intel Core i5 Processor (10th Gen),512 GB SSD,Windows 11 Home Operating System
ASUS,"₹16,990","₹2,44,801",14% off,Intel Core i7 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹38,500","₹39,990",25% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹33,990","₹34,990",13% off,Intel Core i7 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
Avita,"₹1,12,990","₹34,990",19% off,Intel Core i7 Processor (8th Gen),256 GB SSD,64 bit Windows 10 Operating System
Acer,"₹65,990","₹1,53,446",19% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹54,990","₹85,990",36% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
Acer,"₹34,999","₹51,999",19% off,Intel Core i5 Processor (10th Gen),34.29 cm (13.5 Inch) Touchscreen Display,Chrome Operating System
Apple,"₹2,25,217","₹1,29,999",23% off,Apple M3 Pro Processor,512 GB SSD,Mac OS Operating System
Acer,"₹26,990","₹82,500",14% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹12,990","₹88,990",14% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
DELL,"₹18,990","₹49,149",46% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
Infinix,"₹1,33,990","₹89,990",14% off,Intel Core i3 Processor (11th Gen),512 GB SSD,64 bit Windows 11 Operating System
SAMSUNG,"₹52,600","₹61,023",21% off,Intel Core Ultra 7 Processor,1 TB SSD,64 bit Windows 11 Operating System
ASUS,"₹41,990","₹92,999",15% off,AMD Ryzen 5 Hexa Core Processor (10th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹99,990","₹88,990",51% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹62,940","₹72,190",32% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
Apple,"₹78,990","₹51,999",37% off,Apple M3 Max Processor,1 TB SSD,Mac OS Operating System
ASUS,"₹36,250","₹1,44,999",22% off,Intel Core i5 Processor (10th Gen),512 GB SSD,64 bit Windows 10 Operating System
CHUWI,"₹62,991","₹1,31,143",23% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹52,990","₹95,990",36% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹79,990","₹67,486",21% off,Intel Core i3 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹78,990","₹69,525",25% off,AMD Ryzen 5 Quad Core Processor,512 GB SSD,Windows 11 Operating System
DELL,"₹44,990","₹34,990",33% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹43,990","₹85,999",62% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹1,12,990","₹1,02,317",45% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹91,991","₹30,990",29% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
MSI,"₹62,990","₹34,990",14% off,Intel Core i9 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Lenovo,"₹40,899","₹1,29,999",19% off,AMD Ryzen 5 Quad Core Processor,512 GB SSD,Windows 11 Operating System
Acer,"₹34,849","₹1,08,890",23% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹12,990","₹1,75,990",17% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
DELL,"₹65,990","₹87,900",30% off,Processor: AMD R7-6800H (3.20 GHz Up to 4.70 Ghz 8 cores 16MB L3 Cache),Software & Keyboard: Win 11 + Office H&S 2021 & Backlit Keyboard Orange,"Display & Graphics: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border & NVIDIA GEFORCE RTX 3050 (4GB GDDR6)"
MSI,"₹79,880","₹1,11,990",27% off,Intel Core i5 Processor (11th Gen),512 GB SSD,64 bit Windows 10 Operating System
DELL,"₹15,990","₹51,999",21% off,Intel Core i5 Processor (11th Gen),512 GB SSD,64 bit Windows 11 Operating System
Lenovo,"₹18,990","₹61,023",37% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹99,990","₹85,900",21% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹84,990","₹94,999",36% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
DELL,"₹1,02,100","₹92,999",14% off,Intel Core i5 Processor (13th Gen),512 GB SSD,64 bit Windows 11 Home Operating System
ASUS,"₹61,799","₹49,990",23% off,Intel Celeron Dual Core Processor,128 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹99,990","₹99,999",15% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹41,990","₹1,19,999",51% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
Lenovo,"₹52,990","₹93,463",54% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Home Operating System
ASUS,"₹65,990","₹55,000",28% off,AMD Ryzen 9 Octa Core Processor,1 TB SSD,64 bit Windows 10 Operating System
HP,"₹77,990","₹51,999",22% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
MSI,"₹79,990","₹34,990",23% off,Intel Core Ultra 5 Processor,1 TB SSD,Windows 11 Operating System
CHUWI,"₹34,990","₹74,990",8% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹45,890","₹1,17,990",22% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Lenovo,"₹73,039","₹1,44,999",12% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
Acer,"₹67,700","₹85,999",62% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹32,560","₹89,990",45% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹43,990","₹54,990",17% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Lenovo,"₹16,990","₹54,990",12% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹50,990","₹44,900",19% off,AMD Ryzen 5 Hexa Core Processor,1 TB SSD,64 bit Windows 11 Operating System
DELL,"₹83,614","₹34,990",23% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Lenovo,"₹1,12,990","₹34,990",30% off,Intel Core i3 Processor (11th Gen),512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹65,990","₹1,32,239",45% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹45,990","₹85,990",12% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
ASUS,"₹37,990","₹51,999",22% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹37,990","₹1,29,999",13% off,AMD Ryzen 7 Octa Core Processor (6th Gen),1 TB SSD,Windows 11 Home Operating System
Acer,"₹36,800","₹49,000",13% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹12,990","₹83,227",28% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Infinix,"₹18,990","₹1,18,169",53% off,Intel Core i7 Processor (11th Gen),1 TB SSD,Windows 11 Operating System
Infinix,"₹1,14,990","₹77,500",12% off,Intel Core i3 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Infinix,"₹52,990","₹51,999",54% off,Intel Core i3 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹41,990","₹34,990",23% off,AMD Ryzen 3 Dual Core Processor,512 GB SSD,Windows 11 Operating System
CHUWI,"₹99,990","₹54,552",23% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹37,999","₹72,190",22% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
SAMSUNG,"₹51,999","₹1,44,999",15% off,Intel Core 5 Processor,512 GB SSD,64 bit Windows 11 Operating System
SAMSUNG,"₹90,990","₹85,999",51% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
CHUWI,"₹50,300","₹2,30,890",16% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹43,990","₹1,11,990",3% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹16,990","₹1,34,535",11% off,Intel Core i3 Processor (10th Gen),512 GB SSD,64 bit Windows 10 Operating System
ASUS,"₹44,990","₹1,19,990",26% off,AMD Ryzen 9 Octa Core Processor,1 TB SSD,64 bit Windows 10 Operating System
DELL,"₹44,990","₹34,990",22% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹1,12,990","₹51,999",23% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹65,990","₹2,30,890",40% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹1,64,190","₹1,29,999",21% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
MICROSOFT,"₹99,990","₹34,990",62% off,Intel Core i5 Processor (12th Gen),256 GB SSD,Windows 11 Operating System
HP,"₹80,900","₹1,29,999",45% off,Intel Core Ultra 7 Processor,1 TB SSD,Windows 11 Operating System
Acer,"₹1,07,990","₹98,990",38% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹12,990","₹83,039",26% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Apple,"₹41,990","₹85,551",36% off,Apple M3 Processor,256 GB SSD,Mac OS Operating System
MSI,"₹1,75,190","₹1,33,790",54% off,Intel Core Ultra 7 Processor,1 TB SSD,Windows 11 Operating System
MSI,"₹1,08,890","₹61,023",19% off,Intel Core i5 Processor (11th Gen),1 TB HDD|256 GB SSD,Windows 11 Operating System
HP,"₹18,990","₹92,999",23% off,Intel Core i3 Processor (13th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹99,990","₹64,290",21% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹67,990","₹75,000",13% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
HP,"₹60,100","₹51,999",13% off,Intel Core i7 Processor (12th Gen),1 TB SSD,64 bit Windows 11 Operating System
HP,"₹50,332","₹34,990",33% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
CHUWI,"₹1,00,190","₹1,69,990",19% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹52,990","₹64,290",33% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹79,990","₹3,20,926",38% off,Intel Core i7 Processor (11th Gen),1 TB SSD,64 bit Windows 11 Operating System
Lenovo,"₹43,500","₹1,44,999",40% off,Intel Celeron Dual Core Processor,256 GB SSD,64 bit Windows 10 Operating System
ASUS,"₹62,000","₹85,999",19% off,Intel Core i3 Processor (11th Gen),512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹43,990","₹1,16,990",23% off,Intel Core i5 Processor (11th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹16,990","₹66,744",30% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹1,04,990","₹34,990",37% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
DELL,"₹34,999","₹34,990",15% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
DELL,"₹1,34,900","₹59,000",51% off,Processor: Intel i5-1235U (Base- 3.30 GHz & Turbo up to 4.40 GHz) 10 Cores,"Display: 14.0"" FHD+ WVA Truelife Touch Narrow Border 250 nits, Dell Active Pen",Graphics & Keyboard: Integrated & Backlit Keyboard + Fingerprint Reader
Acer,"₹1,79,483","₹57,990",20% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹1,12,990","₹67,990",32% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
MSI,"₹65,990","₹1,25,790",22% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹79,990","₹51,999",23% off,Intel Core i5 Processor (11th Gen),512 GB SSD,64 bit Windows 10 Operating System
ASUS,"₹34,990","₹1,29,999",11% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹12,990","₹54,990",36% off,Intel Core i5 Processor (12th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹18,990","₹61,990",7% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹51,000","₹61,023",32% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
DELL,"₹38,990","₹92,999",62% off,Intel Core i5 Processor (13th Gen),512 GB SSD,64 bit Windows 11 Operating System
SAMSUNG,"₹37,990","₹78,990",45% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
CHUWI,"₹82,190","₹46,990",12% off,"Fan-less Design
(Low Power Consumption)",LPDDR4 4GB RAM,M.2 port for easy DIY upgrades
Acer,"₹41,990","₹98,990",38% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹99,990","₹51,999",19% off,Intel Core i5 Processor (11th Gen),1 TB HDD|256 GB SSD,64 bit Windows 10 Operating System
Lenovo,"₹35,890","₹34,990",23% off,Intel Core i3 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹44,390","₹87,763",23% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹52,990","₹58,567",11% off,AMD Ryzen 3 Quad Core Processor (3rd Gen),256 GB SSD,Windows 11 Operating System
CHUWI,"₹79,990","₹1,44,999",26% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹47,990","₹85,999",30% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
Acer,"₹34,300","₹1,57,867",13% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹72,235","₹1,04,054",13% off,Intel Core i3 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹43,990","₹66,990",36% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Acer,"₹16,990","₹34,990",11% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
MSI,"₹78,490","₹51,999",38% off,Intel Core i7 Processor (11th Gen),512 GB SSD,64 bit Windows 10 Operating System
ASUS,"₹37,999","₹69,990",23% off,Get unparalleled power and reliability with the new Intel 12th Gen CPU,Light Laptop without Optical Disk Drive,Stylish & Portable Just 1.99 cm thin and 1.7 kg in weight. US MIL-STD 810H Military-grade durability
ASUS,"₹1,12,990","₹99,500",23% off,Intel Core i3 Processor (11th Gen),256 GB SSD,64 bit Windows 11 Operating System
Lenovo,"₹65,990","₹34,990",11% off,Intel Core i7 Processor (12th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹93,831","₹1,29,999",37% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
CHUWI,"₹95,990","₹3,20,926",15% off,"Light weight, Portable Laptop
RAM/Storage: 8GB LPDDR4 Ram, 256GB M.2 SSD Storage",8 GB DDR4 RAM,Intel Celeron Dual Core Processor (11th Gen)
HP,"₹43,999","₹69,990",22% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,Windows 11 Operating System
ASUS,"₹12,990","₹64,990",29% off,AMD Ryzen 7 Octa Core Processor,512 GB SSD,Windows 11 Operating System
Acer,"₹41,990","₹83,990",34% off,Intel Core i7 Processor (13th Gen),1 TB SSD,Windows 11 Operating System
Acer,"₹31,990","₹61,023",39% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹69,999","₹92,999",49% off,Intel Celeron Dual Core Processor,29.46 cm (11.6 inch) Display,Windows 10 Operating System
Acer,"₹18,990","₹1,03,990",62% off,Intel Celeron Dual Core Processor,256 GB SSD,Windows 11 Operating System
ASUS,"₹99,990","₹89,990",23% off,Intel Core i5 Processor (10th Gen),1 TB SSD,Windows 11 Operating System
MSI,"₹1,79,483","₹51,999",21% off,Intel Core Ultra 7 Processor,1 TB SSD,Windows 11 Operating System
CHUWI,"₹45,499","₹34,990",48% off,Intel Celeron Quad Core Processor (12th Gen),256 GB SSD,64 bit Windows 11 Home Operating System
Acer,"₹43,990","₹58,990",45% off,Intel Core i5 Processor (12th Gen),512 GB SSD,64 bit Windows 11 Operating System
ASUS,"₹56,990","₹2,09,990",23% off,AMD Ryzen 3 Quad Core Processor (3rd Gen),256 GB SSD,Windows 11 Operating System
Acer,"₹52,990","₹89,999",21% off,Intel Core i5 Processor (11th Gen),1 TB HDD,64 bit Windows 11 Operating System
Acer,"₹79,990","₹93,990",41% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
HP,"₹69,244","₹1,44,999",29% off,AMD Ryzen 5 Hexa Core Processor,512 GB SSD,64 bit Windows 11 Operating System
Lenovo,"₹45,990","₹85,999",10% off,AMD Athlon Dual Core Processor,256 GB SSD,DOS Operating System
Infinix,"₹43,990","₹1,28,990",19% off,Intel Core i5 Processor (13th Gen),512 GB SSD,Windows 11 Operating System
ASUS,"₹16,990","₹25,990",13% off,Intel Core i3 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
MSI,"₹40,499","₹34,990",23% off,Intel Core i5 Processor (12th Gen),512 GB SSD,Windows 11 Operating System
